Software_name,File_name,Article_id,Alias,ID,XML_tag1,XML_tag2,XML_tag1_content,XML_tag2_content,Publication_year,Journal_title,Publisher
WCS Tools,aj_136_1_51.xml,"aj261124, ANJOAA, 10.1088/0004-6256/136/1/51, 261124",1999ASPC..172..498M,1,ext-link,nlm-citation,1999ASPC..172..498M,"
<person-group person-group-type=""author"">
<name><",2008,The Astronomical Journal,The American Astronomical Society
WCS Tools,aj_139_2_348.xml,"aj325036, ANJOAA, 10.1088/0004-6256/139/2/348, 325036",1999ASPC..172..498M,1,ext-link,nlm-citation,1999ASPC..172..498M,"
<person-group person-group-type=""author"">
<name><",2010,The Astronomical Journal,The American Astronomical Society
WCS Tools,aj_139_5_2026.xml,"aj332189, ANJOAA, 10.1088/0004-6256/139/5/2026, 332189",1999ASPC..172..498M,1,ext-link,nlm-citation,1999ASPC..172..498M,"
<person-group person-group-type=""author"">
<name><",2010,The Astronomical Journal,The American Astronomical Society
WCS Tools,aj_140_2_379.xml,"aj263629, ANJOAA, 10.1088/0004-6256/140/2/379, 263629",1999ASPC..172..498M,1,ext-link,nlm-citation,1999ASPC..172..498M,"
<person-group person-group-type=""author"">
<name>
",2010,The Astronomical Journal,The American Astronomical Society
WCS Tools,aj_144_6_166.xml,"aj447079, ANJOAA, 10.1088/0004-6256/144/6/166, 447079",1999ASPC..172..498M,1,ext-link,nlm-citation,1999ASPC..172..498M,"
<person-group person-group-type=""author"">
<name><",2012,The Astronomical Journal,The American Astronomical Society
WCS Tools,aj_153_4_170.xml,"ajaa63f1, 10.3847/1538-3881/aa63f1, aa63f1, AAS03123",1999ASPC..172..498M,1,ext-link,element-citation,1999ASPC..172..498M,"
<person-group person-group-type=""author"">
<name>
",2017,The Astronomical Journal,The American Astronomical Society
WCS Tools,apj_712_2_1010.xml,"apj329729, ASJOAB, 10.1088/0004-637X/712/2/1010, 329729",1999ASPC..172..498M,1,ext-link,nlm-citation,1999ASPC..172..498M,"
<person-group person-group-type=""author"">
<name><",2010,The Astrophysical Journal,The American Astronomical Society
WCS Tools,apj_779_1_42.xml,"apj486448, ASJOAB, 10.1088/0004-637X/779/1/42, 486448, ApJ90850",1999ASPC..172..498M,1,ext-link,nlm-citation,1999ASPC..172..498M,"
<person-group person-group-type=""author"">
<name><",2013,The Astrophysical Journal,The American Astronomical Society
WCS Tools,apj_856_2_109.xml,"apjaab35b, 10.3847/1538-4357/aab35b, aab35b, AAS07130",1999ASPC..172..498M,1,ext-link,element-citation,1999ASPC..172..498M,"
<person-group person-group-type=""author"">
<name>
",2018,The Astrophysical Journal,The American Astronomical Society
WCS Tools,apjs_188_1_75.xml,"apjs330182, ASJOAB, 10.1088/0067-0049/188/1/75, 330182",1999ASPC..172..498M,1,ext-link,nlm-citation,1999ASPC..172..498M,"
<person-group person-group-type=""author"">
<name><",2010,The Astrophysical Journal Supplement Series,The American Astronomical Society
WCS Tools,aj_140_6_1814.xml,"aj357226, ANJOAA, 10.1088/0004-6256/140/6/1814, 357226",2002ASPC..281..169M,1,ext-link,nlm-citation,2002ASPC..281..169M,"
<person-group person-group-type=""author"">
<name>
",2010,The Astronomical Journal,The American Astronomical Society
WCS Tools,aj_140_6_2101.xml,"aj355909, ANJOAA, 10.1088/0004-6256/140/6/2101, 355909",2002ASPC..281..169M,1,ext-link,nlm-citation,2002ASPC..281..169M,"
<person-group person-group-type=""author"">
<name>
",2010,The Astronomical Journal,The American Astronomical Society
WCS Tools,aj_141_3_71.xml,"aj377119, ANJOAA, 10.1088/0004-6256/141/3/71, 377119",2002ASPC..281..169M,1,ext-link,nlm-citation,2002ASPC..281..169M,"
<person-group person-group-type=""author"">
<name>
",2011,The Astronomical Journal,The American Astronomical Society
WCS Tools,aj_144_2_62.xml,"aj434684, ANJOAA, 10.1088/0004-6256/144/2/62, 434684",2002ASPC..281..169M,1,ext-link,nlm-citation,2002ASPC..281..169M,"
<person-group person-group-type=""author"">
<name><",2012,The Astronomical Journal,The American Astronomical Society
WCS Tools,aj_149_4_117.xml,"aj506627, 10.1088/0004-6256/149/4/117, 506627, AJ-12224",2002ASPC..281..169M,1,ext-link,element-citation,2002ASPC..281..169M,"
<person-group person-group-type=""author"">
<name>
",2015,The Astronomical Journal,The American Astronomical Society
WCS Tools,aj_149_4_135.xml,"aj510232, 10.1088/0004-6256/149/4/135, 510232, AJ-12372",2002ASPC..281..169M,1,ext-link,element-citation,2002ASPC..281..169M,"
<person-group person-group-type=""author"">
<name>
",2015,The Astronomical Journal,The American Astronomical Society
