,Software_Package,Alias,Identifier,ref_count
0,AstroBlend,astroblend.com,0,1
1,AstroPy,10.1051/0004-6361/201322068,1,396
2,AstroPy,2013A&A...558A..33A,1,389
3,AstroPy,AstroPy,0,25
4,AstroPy,astropy.org,0,70
5,AstroPy,doi.org/10.1051/0004-6361/201322068,1,2
6,AstroPy,github.com/astropy,0,6
7,RADMC-3D,10.1051/0004-6361:20031768,1,90
8,RADMC-3D,10.1051/0004-6361:20040017,1,11
9,RADMC-3D,2004A&A...417..159D,1,90
10,RADMC-3D,2004A&A...417..793P,1,11
11,RADMC-3D,2011ascl.soft08016D,1,1
12,RADMC-3D,2012ascl.soft02015D,1,6
13,RADMC-3D,RADMC-3D,0,69
14,RADMC-3D,RADMC3D,0,10
15,RADMC-3D,ascl:1202.015,1,1
16,RADMC-3D,ita.uni-heidelberg.de/~dullemond/software/radmc-3d,0,31
17,RADMC-3D,radmc,0,28
18,RADMC-3D,radmc3d,0,4
19,SAOImage DS9,2000ascl.soft03002S,1,1
20,SAOImage DS9,2003ASPC..295..489J,1,52
21,SAOImage DS9,DS9,0,79
22,SAOImage DS9,SAOImage,0,20
23,SAOImage DS9,SAOImage DS9,0,171
24,SAOImage DS9,ds9,0,41
25,SAOImage DS9,ds9.si.edu,0,21
26,SAOImage DS9,saoimage,0,2
27,Spec2d,10.1088/0067-0049/208/1/5,1,114
28,Spec2d,2012ascl.soft03003C,1,18
29,Spec2d,2013ApJS..208....5N,1,113
30,Spec2d,DEEP2 DEIMOS data pipeline,0,4
31,Spec2d,DEEP2 DEIMOS pipeline,0,5
32,Spec2d,DEIMOS pipeline,0,11
33,Spec2d,Spec2d,0,3
34,Spec2d,The analysis pipeline used to reduce the DEIMOS data was developed at UC Berkeley with support from NSF grant AST-0071048.,0,31
35,Spec2d,ascl:1203.003,1,7
36,Spec2d,deep.ps.uci.edu/spec2d,0,3
37,Spec2d,spec2d,0,131
38,Spec2d,www2.keck.hawaii.edu/inst/deimos/pipeline.html,0,2
39,TARDIS,10.1093/mnras/stu055,1,4
40,TARDIS,TARDIS,0,1
41,TARDIS,Tardis,0,1
42,WCS Tools,1997ASPC..125..249M,1,10
43,WCS Tools,1999ASPC..172..498M,1,10
44,WCS Tools,2002ASPC..281..169M,1,11
45,WCS Tools,2006ASPC..351..204M,1,4
46,WCS Tools,WCS Tools,0,1
47,WCS Tools,WCSLIB,0,2
48,WCS Tools,WCSTools,0,64
49,WCS Tools,imwcs,0,21
50,WCS Tools,sky2xy,0,1
51,WCS Tools,tdc-www.harvard.edu/software/wcstools,0,10
52,WCS Tools,wcstools,0,31
53,WCS Tools,xy2sky,0,8
